
> chathistory@0.1.0 dev
> PORT=3002 next dev --turbopack

   ▲ Next.js 15.1.2 (Turbopack)
   - Local:        http://localhost:3002
   - Network:      http://51.38.123.53:3002

 ✓ Starting...
 ✓ Ready in 855ms
 ○ Compiling / ...
 ✓ Compiled / in 2.6s
 GET /api/twitch/user/2coyi 200 in 2063ms
 GET /api/twitch/user/okayyfiona 200 in 2100ms
 GET /api/twitch/user/2coyi 200 in 2132ms
 GET /api/twitch/user/okayyfiona 200 in 2171ms
 GET /api/twitch/user/okayyfiona 200 in 2197ms
 GET /api/twitch/user/2coyi 200 in 2231ms
 GET /api/twitch/user/2coyi 200 in 2271ms
 GET /api/twitch/user/2coyi 200 in 2305ms
 GET /api/twitch/user/2coyi 200 in 2335ms
 GET /api/twitch/badges/global 200 in 2336ms
 GET /api/twitch/user/2coyi 200 in 2375ms
 GET /api/twitch/badges/global 200 in 2391ms
 GET /api/twitch/badges/global 200 in 2400ms
 GET /api/twitch/user/2coyi 200 in 2420ms
 GET /api/twitch/badges/global 200 in 1447ms
 GET /api/twitch/badges/global 200 in 1424ms
 GET /api/twitch/user/okayyfiona 200 in 1031ms
 GET /api/twitch/badges/global 200 in 1458ms
 GET /api/twitch/user/okayyfiona 200 in 1070ms
 GET /api/twitch/badges/global 200 in 1502ms
 GET /api/twitch/badges/global 200 in 1508ms
 GET /api/twitch/badges/global 200 in 1511ms
 GET /api/twitch/badges/global 200 in 1512ms
 GET /api/twitch/badges/global 200 in 1518ms
 GET /api/twitch/badges/global 200 in 1521ms
 GET /api/twitch/badges/global 200 in 1530ms
 GET /api/twitch/badges/global 200 in 1404ms
 GET /api/twitch/badges/global 200 in 1543ms
 GET /api/twitch/badges/global 200 in 1545ms
 GET /api/twitch/badges/global 200 in 1552ms
 GET /api/twitch/badges/global 200 in 1554ms
 GET /api/twitch/badges/global 200 in 1428ms
 GET /api/twitch/badges/global 200 in 1562ms
 GET /api/twitch/user/okayyfiona 200 in 897ms
 GET /api/twitch/user/2coyi 200 in 932ms
 GET /api/twitch/badges/global 200 in 1656ms
 GET /api/twitch/user/okayyfiona 200 in 964ms
 GET /api/twitch/badges/global 200 in 966ms
 GET /api/twitch/user/2coyi 200 in 1014ms
 GET /api/twitch/user/pradasocken 200 in 1049ms
 GET /api/twitch/user/okayyfiona 200 in 1089ms
 GET /api/twitch/badges/global 200 in 1101ms
 GET /api/twitch/user/pradasocken 200 in 1143ms
 GET /api/twitch/user/stimmungschaos__ 200 in 1182ms
 GET /api/twitch/badges/global 200 in 1182ms
 GET /api/twitch/badges/global 200 in 1186ms
 GET /api/twitch/user/2coyi 200 in 1227ms
 GET /api/twitch/user/pradasocken 200 in 1258ms
 GET /api/twitch/user/okayyfiona 200 in 1296ms
 GET /api/twitch/user/2coyi 200 in 1344ms
 GET /api/twitch/user/2coyi 200 in 1372ms
 GET /api/twitch/user/2coyi 200 in 1410ms
 GET /api/twitch/user/2coyi 200 in 1438ms
 GET /api/twitch/user/2coyi 200 in 1482ms
 GET /api/twitch/user/okayyfiona 200 in 1149ms
 GET /api/twitch/user/okayyfiona 200 in 1180ms
 GET /api/twitch/user/okayyfiona 200 in 1225ms
 GET /api/twitch/user/okayyfiona 200 in 1629ms
 GET /api/twitch/user/2coyi 200 in 1299ms
 GET /api/twitch/badges/global 200 in 1666ms
 ✓ Compiled in 32ms
 ✓ Compiled / in 9ms
 GET / 200 in 29ms
 GET / 200 in 29ms
 GET /api/twitch/badges/global 200 in 277ms
 GET /api/twitch/badges/global 200 in 399ms
 GET /api/twitch/user/stimmungschaos__ 200 in 491ms
 GET /api/twitch/user/rxndxm_person_ 200 in 491ms
 GET /api/twitch/user/peepohappydevin 200 in 538ms
 GET /api/twitch/user/okayyfiona 200 in 539ms
 GET /api/twitch/user/supibot 200 in 549ms
 GET /api/twitch/user/okayyfiona 200 in 637ms
 GET /api/twitch/badges/global 200 in 648ms
 GET /api/twitch/user/2coyi 200 in 652ms
 GET /api/twitch/user/stimmungschaos__ 200 in 651ms
 GET /api/twitch/badges/global 200 in 656ms
 GET /api/twitch/badges/global 200 in 665ms
 GET /api/twitch/badges/global 200 in 665ms
 GET /api/twitch/user/rxndxm_person_ 200 in 670ms
 GET /api/twitch/badges/global 200 in 712ms
 GET /api/twitch/badges/global 200 in 717ms
 GET /api/twitch/badges/global 200 in 719ms
 GET /api/twitch/badges/global 200 in 726ms
 GET /api/twitch/badges/global 200 in 732ms
 GET /api/twitch/user/rxndxm_person_ 200 in 736ms
 GET /api/twitch/user/peepohappydevin 200 in 742ms
 GET /api/twitch/badges/global 200 in 741ms
 GET /api/twitch/user/okayyfiona 200 in 750ms
 GET /api/twitch/user/pradasocken 200 in 745ms
 GET /api/twitch/user/2ole_ 200 in 747ms
 GET /api/twitch/user/peepohappydevin 200 in 750ms
 GET /api/twitch/user/rxndxm_person_ 200 in 758ms
 GET /api/twitch/user/peepohappydevin 200 in 760ms
 GET /api/twitch/user/rxndxm_person_ 200 in 757ms
 GET /api/twitch/user/peepohappydevin 200 in 766ms
 GET /api/twitch/badges/global 200 in 772ms
 GET /api/twitch/user/rxndxm_person_ 200 in 776ms
 GET /api/twitch/badges/global 200 in 774ms
 GET /api/twitch/badges/global 200 in 782ms
 GET /api/twitch/badges/global 200 in 789ms
 GET /api/twitch/badges/global 200 in 792ms
 GET /api/twitch/user/okayyfiona 200 in 795ms
 GET /api/twitch/user/okayyfiona 200 in 798ms
 GET /api/twitch/user/okayyfiona 200 in 798ms
 GET /api/twitch/badges/global 200 in 819ms
 GET /api/twitch/badges/global 200 in 826ms
 GET /api/twitch/badges/global 200 in 826ms
 GET /api/twitch/badges/global 200 in 832ms
 GET /api/twitch/user/okayyfiona 200 in 837ms
 GET /api/twitch/badges/global 200 in 852ms
 GET /api/twitch/badges/global 200 in 853ms
 GET /api/twitch/user/2coyi 200 in 854ms
 GET /api/twitch/badges/global 200 in 859ms
 GET /api/twitch/badges/global 200 in 859ms
 GET /api/twitch/badges/global 200 in 866ms
 GET /api/twitch/badges/global 200 in 867ms
 GET /api/twitch/user/2coyi 200 in 873ms
 GET /api/twitch/user/2coyi 200 in 878ms
 GET /api/twitch/badges/global 200 in 866ms
 GET /api/twitch/badges/global 200 in 878ms
 GET /api/twitch/user/okayyfiona 200 in 883ms
 GET /api/twitch/badges/global 200 in 880ms
 GET /api/twitch/user/2coyi 200 in 882ms
 GET /api/twitch/user/pradasocken 200 in 880ms
 GET /api/twitch/badges/global 200 in 888ms
 GET /api/twitch/badges/global 200 in 888ms
 GET /api/twitch/badges/global 200 in 899ms
